id,obsnum,choice,hev,phev10,phev20,phev40,bev75,bev100,bev150,phevFastcharge,bevFastcharge,price,opCost,accelTime,american,japanese,chinese,skorean,weights
1,1,1,0,0,0,0,1,0,0,0,1,9.419,12.31,13,1,0,0,0,0.2
1,1,0,0,0,0,0,0,0,0,0,0,14.129,10.55,11,0,1,0,0,0.2
1,1,0,0,1,0,0,0,0,0,1,0,39.246,15.32,9,0,0,1,0,0.2
1,2,0,0,1,0,0,0,0,0,1,0,20.408,8.54,15,0,0,1,0,0.2
1,2,1,0,0,0,1,0,0,0,1,0,20.408,15.32,11,0,1,0,0,0.2
1,2,0,1,0,0,0,0,0,0,0,0,26.688,15.32,15,0,0,0,0,0.2
1,3,1,0,1,0,0,0,0,0,1,0,39.246,8.54,9,0,0,0,0,0.2
1,3,0,0,0,0,0,1,0,0,0,0,26.688,12.31,9,0,1,0,0,0.2
1,3,0,0,1,0,0,0,0,0,0,0,14.129,12.31,13,1,0,0,0,0.2
1,4,0,1,0,0,0,0,0,0,0,0,9.419,12.31,15,0,0,1,0,0.2
1,4,1,0,0,0,0,0,1,0,0,0,14.129,15.32,13,1,0,0,0,0.2
1,4,0,0,0,0,0,0,1,0,0,1,20.408,15.32,9,0,0,0,0,0.2
1,5,0,0,0,0,1,0,0,0,1,0,20.408,12.31,15,0,0,0,0,0.2
1,5,0,0,0,0,0,0,0,1,0,0,9.419,8.54,9,0,0,1,0,0.2
1,5,1,0,0,0,0,0,0,1,0,1,39.246,8.54,9,0,1,0,0,0.2
1,6,0,0,0,0,0,1,0,0,0,1,9.419,10.55,13,0,1,0,0,0.2
1,6,1,0,0,0,0,0,0,1,0,1,26.688,10.55,11,0,0,1,0,0.2
1,6,0,0,1,0,0,0,0,0,0,0,39.246,8.54,9,0,0,0,0,0.2
1,7,0,0,0,0,1,0,0,0,0,0,20.408,8.54,13,1,0,0,0,0.2
1,7,1,1,0,0,0,0,0,0,0,0,26.688,8.54,11,0,0,0,0,0.2
1,7,0,1,0,0,0,0,0,0,0,0,20.408,12.31,13,0,0,0,1,0.2
1,8,0,0,0,1,0,0,0,0,1,0,14.129,12.31,13,0,0,1,0,0.2
1,8,0,0,0,0,0,0,0,0,0,0,26.688,8.54,13,0,0,0,1,0.2
1,8,1,1,0,0,0,0,0,0,0,0,14.129,10.55,11,1,0,0,0,0.2
1,9,1,0,1,0,0,0,0,0,0,0,20.408,12.31,9,0,0,0,1,0.2
1,9,0,0,0,0,1,0,0,0,1,0,9.419,15.32,13,0,0,0,1,0.2
1,9,0,1,0,0,0,0,0,0,0,0,39.246,8.54,13,0,0,0,1,0.2
1,10,0,1,0,0,0,0,0,0,0,0,20.408,15.32,9,0,0,1,0,0.2
1,10,1,0,0,0,0,0,0,0,0,0,39.246,12.31,9,1,0,0,0,0.2
1,10,0,0,0,0,0,0,0,0,0,0,14.129,12.31,11,1,0,0,0,0.2
1,11,1,0,1,0,0,0,0,0,1,0,20.408,8.54,9,0,0,0,0,0.2
1,11,0,1,0,0,0,0,0,0,0,0,39.246,8.54,11,0,0,0,1,0.2
1,11,0,0,1,0,0,0,0,0,1,0,9.419,8.54,13,0,0,1,0,0.2
1,12,0,0,0,0,0,0,0,1,0,1,14.129,15.32,13,0,0,0,1,0.2
1,12,1,0,0,0,0,0,0,1,0,1,39.246,10.55,9,0,0,0,1,0.2
1,12,0,0,1,0,0,0,0,0,1,0,14.129,12.31,9,0,0,0,1,0.2
1,13,0,0,0,0,0,0,0,0,0,0,39.246,15.32,15,0,0,0,1,0.2
1,13,0,0,0,0,1,0,0,0,0,0,39.246,8.54,15,0,0,0,1,0.2
1,13,1,0,1,0,0,0,0,0,1,0,20.408,15.32,15,0,0,1,0,0.2
1,14,0,0,0,0,1,0,0,0,0,0,9.419,8.54,15,1,0,0,0,0.2
1,14,0,1,0,0,0,0,0,0,0,0,9.419,15.32,11,0,0,1,0,0.2
1,14,1,0,0,1,0,0,0,0,1,0,9.419,15.32,9,0,0,0,1,0.2
1,15,0,0,0,0,0,0,0,0,0,0,26.688,15.32,13,0,0,0,0,0.2
1,15,1,0,0,0,1,0,0,0,1,0,20.408,10.55,11,0,1,0,0,0.2
