numDraws,seed,logLik,time_sec
50,1,-732.1937088194175,0.3073999881744385
50,2,-722.1479076787112,0.2965359687805176
50,3,-714.0391397489464,0.33113694190979004
50,4,-715.2251088250986,0.29627418518066406
50,5,-739.9381542015948,0.2799811363220215
50,6,-731.3113926902932,0.29837989807128906
50,7,-727.3715299153607,0.3165571689605713
50,8,-745.4102929507524,0.29221010208129883
50,9,-728.86181413408406,0.3020000457763672
50,10,-732.879426943639,0.30990099906921387
100,1,-729.6081043821872,0.4230611324310303
100,2,-716.053622140419,0.3857741355895996
100,3,-721.6377160914757,0.4108121395111084
100,4,-717.2581234083948,0.40505194664001465
100,5,-744.6536650110675,0.4725620746612549
100,6,-731.0760134353783,0.4205801486968994
100,7,-728.6521725890868,0.4544379711151123
100,8,-734.4011609329785,0.44379401206970215
100,9,-720.8609445760984,0.43537402153015137
100,10,-728.4108000870323,0.43257808685302734
250,1,-725.6883141988217,0.7228169441223145
250,2,-720.1645829861961,0.720365047454834
250,3,-722.1495183114838,0.7810349464416504
250,4,-723.9303071276197,0.9641821384429932
250,5,-721.262873368511,0.7753951549530029
250,6,-730.8892760610655,0.7980611324310303
250,7,-717.034803027398,0.7616510391235352
250,8,-724.1803648973666,0.8543570041656494
250,9,-724.0138273616782,0.7682440280914307
250,10,-724.1782712866809,0.9317300319671631
500,1,-722.0498461895743,1.4299509525299072
500,2,-727.3677998859752,1.41890287399292
500,3,-720.2640773502584,1.3394010066986084
500,4,-729.1120792517258,1.4193849563598633
500,5,-726.7127096565325,1.461850881576538
500,6,-721.1533644122311,1.3179709911346436
500,7,-731.1269158749473,1.5959038734436035
500,8,-725.8995540861737,1.3923687934875488
500,9,-723.5613432044597,1.3575599193572998
500,10,-721.0469615601681,1.498094081878662
1000,1,-723.39942512605,2.4056031703948975
1000,2,-726.6095477187067,2.905017137527466
1000,3,-724.846199760664,2.3292338848114014
1000,4,-725.3091387160309,2.443809986114502
1000,5,-724.2582194712347,2.442182779312134
1000,6,-725.780912106078,2.5146520137786865
1000,7,-725.1363925334538,2.485318183898926
1000,8,-724.4277126452995,2.8265750408172607
1000,9,-724.4855728812098,2.57480788230896
1000,10,-727.2546433561928,2.1680541038513184
5000,1,-725.0464139004386,9.928931951522827
5000,2,-725.0163344379463,9.580174922943115
5000,3,-726.6793297123719,10.2409188747406
5000,4,-725.9018206613565,9.928695917129517
5000,5,-723.9967475131068,8.591986894607544
5000,6,-724.8917596314373,10.577746868133545
5000,7,-724.2185448186599,10.202543020248413
5000,8,-724.2186432826057,9.105278015136719
5000,9,-725.3636063201234,10.183619976043701
5000,10,-725.3027454542106,9.12572193145752
