package,time_sec,numDraws,version
logitr (1 cores),0.336838960647583,50,1.2.0
logitr (5 cores),0.15790295600891113,50,1.2.0
logitr (10 cores),0.14338994026184082,50,1.2.0
mixl,2.6236300468444824,50,1.3.5
mlogit,4.076069116592407,50,1.1.3
gmnl,4.280601978302002,50,1.1.3.2
logitr (1 cores),1.1172010898590088,250,1.2.0
logitr (5 cores),0.36766982078552246,250,1.2.0
logitr (10 cores),0.2855978012084961,250,1.2.0
mixl,14.075988054275513,250,1.3.5
mlogit,12.249807834625244,250,1.1.3
gmnl,13.782110929489136,250,1.1.3.2
logitr (1 cores),2.315886974334717,500,1.2.0
logitr (5 cores),0.6252539157867432,500,1.2.0
logitr (10 cores),0.44629502296447754,500,1.2.0
mixl,31.04726791381836,500,1.3.5
mlogit,25.97789216041565,500,1.1.3
gmnl,32.71310591697693,500,1.1.3.2
logitr (1 cores),5.422245025634766,1000,1.2.0
logitr (5 cores),1.3246791362762451,1000,1.2.0
logitr (10 cores),0.8835389614105225,1000,1.2.0
mixl,63.07857608795166,1000,1.3.5
mlogit,32.121593952178955,1000,1.1.3
gmnl,47.04910707473755,1000,1.1.3.2
logitr (1 cores),13.641908884048462,2000,1.2.0
logitr (5 cores),2.50406813621521,2000,1.2.0
logitr (10 cores),1.559823989868164,2000,1.2.0
mixl,82.68518590927124,2000,1.3.5
mlogit,64.54014897346497,2000,1.1.3
gmnl,57.10109090805054,2000,1.1.3.2
apollo (1 cores),4.035837888717651,50,0.3.7
apollo (5 cores),6.234586000442505,50,0.3.7
apollo (10 cores),9.65134310722351,50,0.3.7
apollo (1 cores),19.65605092048645,250,0.3.7
apollo (5 cores),16.622080087661743,250,0.3.7
apollo (10 cores),17.584208011627197,250,0.3.7
apollo (1 cores),6.213916063308716,500,0.3.7
apollo (5 cores),9.289589881896973,500,0.3.7
apollo (10 cores),11.229466915130615,500,0.3.7
apollo (1 cores),80.57130098342896,1000,0.3.7
apollo (5 cores),58.06801509857178,1000,0.3.7
apollo (10 cores),54.559678077697754,1000,0.3.7
apollo (1 cores),98.04682612419128,2000,0.3.7
apollo (5 cores),65.65819001197815,2000,0.3.7
apollo (10 cores),67.16712403297424,2000,0.3.7
