config,time_sec,numDraws
cpu,1.8217799663543701,100
cpp (1 core),0.41454601287841797,100
cpp (10 cores),0.1308150291442871,100
cpu,9.819817066192627,500
cpp (1 core),2.2549328804016113,500
cpp (10 cores),0.40364694595336914,500
cpu,21.114989042282104,1000
cpp (1 core),5.394536018371582,1000
cpp (10 cores),0.8945121765136719,1000
cpu,55.43276500701904,2500
cpp (1 core),13.617463111877441,2500
cpp (10 cores),1.9598190784454346,2500
cpu,158.35056805610657,5000
cpp (1 core),36.860556840896606,5000
cpp (10 cores),4.337292194366455,5000
cpu,329.3821189403534,10000
cpp (1 core),76.00851798057556,10000
cpp (10 cores),9.553959131240845,10000
