package,time_sec,numDraws
logitr,3.7361350059509277,50
mixl1,9.133226871490479,50
mixl3,9.123771905899048,50
mlogit,11.004931211471558,50
gmnl,16.193600177764893,50
apollo1,25.887394189834595,50
apollo3,21.57364296913147,50
logitr,11.329051971435547,200
mixl1,42.858001947402954,200
mixl3,42.97043800354004,200
mlogit,28.738914966583252,200
gmnl,43.07588219642639,200
apollo1,83.20337700843811,200
apollo3,51.07608890533447,200
logitr,29.8438720703125,400
mixl1,72.23793292045593,400
mixl3,70.98922896385193,400
mlogit,97.05106377601624,400
gmnl,84.05827689170837,400
apollo1,132.9254128932953,400
apollo3,85.8125901222229,400
logitr,43.86951279640198,600
mixl1,133.4966549873352,600
mixl3,133.2425720691681,600
mlogit,115.27462410926819,600
gmnl,164.5274040699005,600
apollo1,216.64049100875854,600
apollo3,132.61299300193787,600
logitr,73.28251194953918,800
mixl1,152.54354000091553,800
mixl3,152.57939887046814,800
mlogit,145.50896692276,800
gmnl,171.74319410324097,800
apollo1,244.45866703987122,800
apollo3,151.05432200431824,800
logitr,108.6866090297699,1000
mixl1,203.96836590766907,1000
mixl3,199.57425904273987,1000
mlogit,142.88223791122437,1000
gmnl,260.3441619873047,1000
apollo1,311.06366991996765,1000
apollo3,192.11496901512146,1000
